Lookup ID,Age,Gender,Marital status,City,State,Country,Email,Class of,College,Degree,Enrolled Via,Enrollment Date,Total Donation Amount,Cumulative Lifetime Donation Years,Consecutive Years of Giving,If Donated
11488038,72,Male,Married,Clinton,Illinois,United States,Yes,1972,"1KL-Agr, Consumer, & Env Sciences",BS: Bachelor of Science,No record,1900-01-01 00:00:00,0,0,0,0
13663683,28,Male,Unknown,Chengdu,Sichuan,China,Yes,2018,1KU-Law,LLM: Master of Laws,No record,1900-01-01 00:00:00,0,0,0,0
11535019,70,Female,Married,Evergreen Park,Illinois,United States,Yes,1974,,BA: Bachelor of Arts,No record,1900-01-01 00:00:00,0,0,0,0
12068148,59,Male,Married,Coronado,California,United States,Yes,1986,1KY-Applied Health Sciences,BS: Bachelor of Science,No record,1900-01-01 00:00:00,0,0,0,0
11434386,76,Female,Widow/er,Elk Grove Village,Illinois,United States,Yes,,,,Main site,2022-02-08 00:00:00,17114.83,39,24,1
10693703,41,Male,Married,Winter Garden,Florida,United States,Yes,2004,,BS: Bachelor of Science,No record,1900-01-01 00:00:00,0,0,0,0
11097488,30,Female,Single,Chicago,Illinois,United States,Yes,2016,1KV-Liberal Arts & Sciences,MA: Master of Arts,Main site,2022-07-18 00:00:00,0,0,0,0
13651159,23,Male,Single,Homer Glen,Illinois,United States,Yes,2020,"1KL-Agr, Consumer, & Env Sciences",BS: Bachelor of Science,No record,1900-01-01 00:00:00,0,0,0,0
11433619,75,Male,Married,Lake Mills,Wisconsin,United States,Yes,1974,1LC-Veterinary Medicine,BS: Bachelor of Science,No record,1900-01-01 00:00:00,0,0,0,0
11472508,69,Female,Married,Glencoe,Illinois,United States,Yes,1975,1KN-Education,BS: Bachelor of Science,No record,1900-01-01 00:00:00,0,0,0,0
11100277,26,Male,Unknown,San Francisco,California,United States,Yes,2020,1KV-Liberal Arts & Sciences,BSLAS: BS  Liberal Arts and Science,Main site,2022-03-15 00:00:00,18,1,1,1
11501509,56,Male,Married,Evanston,Illinois,United States,Yes,1989,1KR-Fine & Applied Arts,BA: Bachelor of Arts,Main site,2022-11-15 00:00:00,0,0,0,0
10858964,32,Male,Single,Anderson,Indiana,United States,Yes,2012,1KV-Liberal Arts & Sciences,BSLAS: Bachelor of Science Liberal Arts & Sciences,No record,1900-01-01 00:00:00,0,0,0,0
11430190,56,Male,Married,San Francisco,California,United States,Yes,1989,1KV-Liberal Arts & Sciences,BALAS: Bachelor of Arts in Liberal Arts & Sciences,Main site,2022-08-17 00:00:00,0,0,0,0
11645088,53,Male,Married,Wadsworth,Ohio,United States,Yes,1991,1KP-Grainger Engineering,BS: Bachelor of Science,No record,1900-01-01 00:00:00,0,0,0,0
13896487,25,Male,Married,Chicago,Illinois,United States,Yes,2020,1KM-Gies College of Business,MAS: Master of Accounting Science,Main site,2022-12-29 00:00:00,0,0,0,0
11538564,63,Male,Married,Auburndale,Massachusetts,United States,Yes,1981,1KP-Grainger Engineering,BS: Bachelor of Science,Main site,2022-02-07 00:00:00,5500,14,5,1
